parts,strength
Asphalt,43.666666666666664
Asphalt shingles,37.333333333333336
Blinds,49.333333333333336
Building frame,43.333333333333336
Building paper,37.333333333333336
Building tag,39.0
Building trim,33.333333333333336
Ceiling grid,43.666666666666664
Ceiling material,40.333333333333336
Ceiling molding material,36.666666666666664
Ceiling panel,34.666666666666664
Concrete mixer,33.0
Conduit box,24.0
Control point,29.0
Corner bead,44.333333333333336
Countertop,46.0
Curtain wall,46.333333333333336
Door frame,35.333333333333336
Door frame,42.666666666666664
Door handle,41.666666666666664
Drywall screws,44.666666666666664
Exterior brick,33.666666666666664
Fasteners,42.0
Glass,47.0
Gypsum base,38.333333333333336
Hasp,25.666666666666668
Hydraulic push,30.0
Insulation,34.0
Insulation crafts,48.333333333333336
Insulation material,43.333333333333336
Iron railing,36.0
Ironwork,17.0
Jackhammer,37.666666666666664
Meter box,44.0
Non-ferrous metal,29.0
Oil paint,36.333333333333336
Outlet box,38.0
Plaster,43.666666666666664
Rebar drawing,43.0
Rebar installation,38.0
Rebar tie,33.0
Reinforced concrete block,35.666666666666664
Roof bumper,37.666666666666664
Roofing,39.333333333333336
Stair runner,38.0
Steel,16.666666666666668
Steel frame,24.666666666666668
Steel frame structure,37.0
Tile,32.0
Tile joint material,7.333333333333333
Vinyl ceiling,12.333333333333334
Vinyl flooring,40.0
Wood,39.0
Wooden ladder,42.0
